ID_To
UniParc
UniRef50
UniRef90
UniRef100
Gene-Name
CRC64
CCDS
EMBL-GenBank-DDBJ
EMBL-GenBank-DDBJ_CDS
GI_number
PIR
RefSeq_Nucleotide
RefSeq_Protein
PDB
BioGRID
ComplexPortal
DIP
STRING
ChEMBL
DrugBank
GuidetoPHARMACOLOGY
SwissLipids
Allergome
CLAE
ESTHER
MEROPS
PeroxiBase
REBASE
TCDB
GlyConnect
BioMuta
DMDM
World-2DPAGE
CPTAC
ProteomicsDB
DNASU
Ensembl
Ensembl_Genomes
Ensembl_Genomes_Protein
Ensembl_Genomes_Transcript
Ensembl_Protein
Ensembl_Transcript
GeneID
KEGG
PATRIC
UCSC
WBParaSite_Transcript_Protein
ArachnoServer
Araport
CGD
ConoServer
dictyBase
EchoBASE
euHCVdb
FlyBase
GeneCards
GeneReviews
HGNC
LegioList
Leproma
MaizeGDB
MGI
MIM
neXtProt
OpenTargets
Orphanet
PharmGKB
PomBase
PseudoCAP
RGD
SGD
TubercuList
VEuPathDB
VGNC
WormBase-Protein
WormBase-Transcript
Xenbase
ZFIN
eggNOG
GeneTree
HOGENOM
OMA
OrthoDB
TreeFam
BioCyc
PlantReactome
Reactome
UniPathway
ChiTaRS
GeneWiki
GenomeRNAi
PHI-base
CollecTF
DisProt
IDEAL
